day,reason,week,zone
Lunes,Día de la Inmaculada Concepción de María Feriado Nacional.,0203_2026,Norte
Lunes,Feriado nacional por el Paso a la Inmortalidad del General Martín Miguel de Güemes.,1506_1026,Norte
Lunes,Feriado nacional por el Paso a la Inmortalidad del General Martín Miguel de Güemes. NTRODUCCIÓN A LA MICROBIOLOGIA 14:00 a 15:20 Prof. Vanina,1506_1026,Norte
Martes,Feriado provincial. Aniversario del desembarco de 153 inmigrantes galeses del velero Mimosa en las costas de Golfo Nuevo (Puerto Madryn).,2707_2026,Norte
Martes,TURNO MÉDICO Fonoaudióloga. 15:30 a 16:30 hs Feriado provincial. Aniversario del desembarco de 153 inmigrantes galeses del velero Mimosa en las costas de Golfo Nuevo (Puerto Madryn).,2707_2026,Norte
Martes,MARTES 28 FERIADO PROVINCIAL,2707_2026,Sur
Martes,MARTES 28 FERIADO PROVINCIAL,0308_2026,Sur
Martes,MARTES 11 JORNADA PEDAGOGICA,1008_2026,Sur
Lunes,LUNES FERIADO,1708_2026,Sur
Lunes,LUNES 17 FERIADO,1708_2026,Sur
