week_id,date_range,start_date,end_date,active_students,total_classes,scheduled_hours,effective_hours,working_days,holidays_count,holidays_detail
2302_2026,23/02 al 27/02/2026,2026-02-23,2026-02-27,2,12,12.2,12.2,5,0,
0203_2026,02/03 al 06/03/2026,2026-03-02,2026-03-06,5,39,39.9,38.5,5,0,
0903_2026,09/03 al 13/03/2026,2026-03-09,2026-03-13,7,21,24.8,24.8,5,0,
1603_2026,16/03 al 20/03/2026,2026-03-16,2026-03-20,7,32,34.0,34.0,5,0,
2303_2026,23/03 al 27/03/2026,2026-03-23,2026-03-27,9,56,61.7,56.0,3,2,2026-03-23: Día no laborable con fines turísticos (Puente); 2026-03-24: Día Nacional de la Memoria por la Verdad y la Justicia
3003_2026,30/03 al 03/04/2026,2026-03-30,2026-04-03,8,50,55.9,52.2,3,2,2026-04-02: Día del Veterano y de los Caídos en Malvinas / Jueves Santo; 2026-04-03: Viernes Santo Festividad Cristiana
0604_2026,06/04 al 10/04/2026,2026-04-06,2026-04-10,8,53,60.8,60.8,5,0,
1304_2026,13/04 al 17/04/2026,2026-04-13,2026-04-17,10,59,71.3,71.3,5,0,
2004_2026,20/04 al 24/04/2026,2026-04-20,2026-04-24,8,80,98.1,98.1,5,0,
2704_2026,27/04 al 01/05/2026,2026-04-27,2026-05-01,10,53,62.3,59.7,4,1,2026-05-01: Día del Trabajador
0405_2026,04/05 al 08/05/2026,2026-05-04,2026-05-08,10,52,62.1,62.1,5,0,
1105_2026,11/05 al 15/05/2026,2026-05-11,2026-05-15,10,52,60.6,60.6,5,0,
1805_2026,18/05 al 22/05/2026,2026-05-18,2026-05-22,9,56,64.3,64.3,5,0,
2505_2026,25/05 al 29/05/2026,2026-05-25,2026-05-29,8,58,68.6,58.0,4,1,2026-05-25: Día de la Revolución de Mayo
0106_2026,01/06 al 05/06/2026,2026-06-01,2026-06-05,8,53,63.1,63.1,5,0,
0806_2026,08/06 al 12/06/2026,2026-06-08,2026-06-12,8,52,62.5,62.5,5,0,
1506_1026,15/06 al 19/06/2026,2026-06-15,2026-06-19,8,50,59.4,50.1,4,1,2026-06-15: Paso a la Inmortalidad del Gral. Don Martín Miguel de Güemes
2206_2026,22/06 al 26/06/2026,2026-06-22,2026-06-26,8,54,64.9,64.9,5,0,
2906_2026,29/06 al 30/06/2026,2026-06-29,2026-06-30,8,19,22.5,22.5,2,0,
